STRATFORD | Stratford
STRATFORD | SRA
STRATFORD | STFD
SHENFIELD | Shenfield
SHENFIELD | SNF
SHENFIELD | SHENFLD
CHELMSFORD | Chelmsford
CHELMSFORD | CHM
CHELMSFORD | CHLMSFD
COLCHESTER | Colchester
COLCHESTER | COL
COLCHESTER | CLCHSTR
MANNINGTREE | Manningtree
MANNINGTREE | DEDHAM VALE
MANNINGTREE | MNG
MANNINGTREE | MANNGTR
DERBY ROAD | Derby Road Ipswich
DERBY ROAD | Derby Road
DERBY ROAD | Derby
DERBY ROAD | Ipswich
DERBY ROAD | DBR
DERBY ROAD | DERBYRD
STOWMARKET | Stowmarket
STOWMARKET | SMK
STOWMARKET | STWMRKT
DISS | Diss
DISS | DIS
DISS | DISS
NORWICH | Norwich
NORWICH | NRW
NORWICH | NRCH
