STRATFORD | Stratford
STRATFORD | SRA
STRATFORD | STFD
SHENFIELD | Shenfield
SHENFIELD | SNF
SHENFIELD | SHENFLD
CHELMSFORD | Chelmsford
CHELMSFORD | CHM
CHELMSFORD | CHLMSFD
COLCHESTER | Colchester
COLCHESTER | COL
COLCHESTER | CLCHSTR
MANNINGTREE | Manningtree
MANNINGTREE | DEDHAM VALE
MANNINGTREE | MNG
MANNINGTREE | MANNGTR
DERBY ROAD IPSWICH | Derby Road Ipswich
DERBY ROAD IPSWICH | Derby Road
DERBY ROAD IPSWICH | Derby
DERBY ROAD IPSWICH | Ipswich
DERBY ROAD IPSWICH | DBR
DERBY ROAD IPSWICH | DERBYRD
STOWMARKET | Stowmarket
STOWMARKET | SMK
STOWMARKET | STWMRKT
DISS | Diss
DISS | DIS
DISS | DISS
NORWICH | Norwich
NORWICH | NRW
NORWICH | NRCH
